"gene_name","gene_ort","TDN_num_patients","TP_num_patients","TDN_num_sites","TP_num_sites","TDN_peak_abund","TP_peak_abund","TDN_peak_relAbund","TP_peak_relAbund","abund_gini","long_count","max_geneDist","genomic_range","ort_fisher_test","On_Onco_List","Top_1pc_Abund","Top_10pc_Abund","Within_Cluster","Cluster_target.min"
"ACAP3","-",17,3,18,3,2,1,0.0992063492063492,0.204498977505113,0,1,0,12175,0.553383458646617,FALSE,FALSE,TRUE,FALSE,NA
"ACAT1","+",7,4,7,7,2,1,0.0943396226415094,0.204498977505113,0,1,4246,21684,0.559440559440559,FALSE,FALSE,TRUE,FALSE,NA
"ACAT2","+",5,0,6,0,1,0,0.0492853622474125,0,0,0,0,159775504,1,FALSE,FALSE,FALSE,FALSE,NA
"ACBD3","-",28,8,32,9,3,1,0.130378096479791,0.485436893203883,0,1,16328,64790,0.259500025353684,FALSE,FALSE,TRUE,FALSE,NA
"ACBD4","+",5,0,6,0,1,0,0.0291970802919708,0,0,0,913,45145095,1,FALSE,FALSE,FALSE,FALSE,NA
"ACBD5","-",16,11,22,14,2,5,0.171673819742489,2.5,0.257142857142857,1,0,43643,0.0387741613064434,FALSE,TRUE,TRUE,FALSE,NA
"ACBD6","-",33,12,44,19,2,3,0.0732600732600733,0.591715976331361,0.171052631578947,1,15602,236570,0.788493369126912,FALSE,TRUE,TRUE,FALSE,NA
"ACBD7-DCLRE1CP1","-",2,1,2,1,1,1,0.0424088210347752,0.29940119760479,0,1,0,16026,0.333333333333333,FALSE,FALSE,FALSE,FALSE,NA
"ACCSL","+",1,0,1,0,1,0,0.0239520958083832,0,0,0,2028,44045951,1,FALSE,FALSE,FALSE,FALSE,NA
"ACD","-",2,0,1,0,1,0,0.0412541254125412,0,0,0,0,67658823,1,FALSE,FALSE,FALSE,FALSE,NA
"ACE","+",1,0,1,0,1,0,0.0503018108651912,0,0,0,11236,63509617,1,FALSE,FALSE,FALSE,FALSE,NA
"ACE2","-",1,0,1,0,1,0,0.0640204865556978,0,0,0,0,15573715,1,FALSE,FALSE,FALSE,FALSE,NA
"ACER1","-",26,9,34,16,3,3,0.0493096646942801,0.468384074941452,0.16875,2,13849,39019,1,FALSE,FALSE,TRUE,FALSE,NA
"ACER2","+",5,6,5,6,1,1,0.172413793103448,0.139082058414465,0,1,21888,79799,0.0800865800865801,FALSE,FALSE,FALSE,FALSE,NA
"ACER3","+",21,15,25,19,2,2,0.253164556962025,0.332225913621262,0.0473684210526315,1,27099,188772,0.0657275200667146,FALSE,FALSE,TRUE,FALSE,NA
"ACHE","-",1,2,1,2,1,1,0.027063599458728,0.233100233100233,0,1,15787,5929,0.333333333333333,FALSE,FALSE,FALSE,FALSE,NA
"ACIN1","-",61,26,105,56,3,7,0.34443168771527,1.28205128205128,0.186734693877552,2,0,30857,0.509551163951053,FALSE,FALSE,TRUE,FALSE,NA
"ACKR1","+",1,0,1,0,1,0,0.00646203554119547,0,0,0,28561,159235062,1,FALSE,FALSE,FALSE,FALSE,NA
"ACKR2","+",2,2,2,2,1,1,0.0193610842207164,0.353356890459364,0,1,0,41897,1,FALSE,FALSE,TRUE,FALSE,NA
"ACKR3","+",8,4,9,4,1,1,0.0585480093676815,0.5,0,1,195269,237525,1,TRUE,FALSE,FALSE,FALSE,NA
"ACLY","-",30,14,32,18,2,4,0.0931098696461825,11.1111111111111,0.195652173913043,2,4753,56607,1,FALSE,TRUE,TRUE,FALSE,NA
"ACMSD","+",1,2,1,2,1,1,0.0430848772080999,0.226757369614512,0,1,36885,17203,0.333333333333333,FALSE,FALSE,FALSE,FALSE,NA
"ACO1","+",11,6,12,7,1,2,0.0579374275782155,0.520833333333333,0.107142857142857,1,479250,545221,0.376518218623482,FALSE,FALSE,FALSE,FALSE,NA
"ACO2","+",33,14,46,20,2,3,0.32258064516129,0.684931506849315,0.119565217391305,1,0,56730,0.79195458795667,FALSE,TRUE,TRUE,FALSE,NA
"ACOD1","+",2,2,2,2,1,1,0.0254582484725051,0.571428571428571,0,1,6647,16248,0.333333333333333,FALSE,FALSE,FALSE,FALSE,NA
"ACOT11","+",5,4,7,4,2,1,0.0819336337566571,0.431034482758621,0,1,69156,158586,0.545454545454546,FALSE,FALSE,TRUE,FALSE,NA
"ACOT12","-",0,1,0,1,0,1,0,11.1111111111111,0,1,0,81362596,1,FALSE,FALSE,TRUE,FALSE,NA
"ACOT13","+",7,5,7,6,1,1,0.0492853622474125,0.264550264550265,0,1,0,28610,0.265734265734266,FALSE,FALSE,TRUE,FALSE,NA
"ACOT2","+",1,0,1,0,1,0,0.00614703712810425,0,0,0,3407,73579066,1,FALSE,FALSE,FALSE,FALSE,NA
"ACOT4","+",2,1,2,1,3,1,0.114810562571757,0.24330900243309,0,1,5150,8266,1,FALSE,FALSE,FALSE,FALSE,NA
"ACOT6","+",2,1,2,1,1,1,0.253164556962025,0.27027027027027,0,1,8013,7060,1,FALSE,FALSE,FALSE,FALSE,NA
"ACOT7","-",14,15,15,17,2,2,0.0640204865556978,2.08333333333333,0.0522875816993471,1,0,95779,0.243288839451242,FALSE,FALSE,TRUE,FALSE,NA
"ACOT8","-",7,2,7,2,1,1,0.0499251123315027,0.0493339911198816,0,1,0,12033,1,FALSE,FALSE,TRUE,FALSE,NA
"ACOT9","-",6,3,7,3,3,1,0.128314798973482,0.29940119760479,0,1,14752,50572,1,FALSE,FALSE,FALSE,FALSE,NA
"ACOX1","-",88,41,229,108,4,9,0.317796610169492,5.35714285714286,0.16594301221167,2,0,36591,0.129961732129834,FALSE,TRUE,TRUE,FALSE,NA
"ACOX2","-",1,2,1,2,1,1,0.00777121541809138,0.36101083032491,0,1,30,10062,1,FALSE,FALSE,TRUE,FALSE,NA
"ACOX3","-",3,1,3,1,1,1,0.040453074433657,0.134952766531714,0,1,5673,77143,1,FALSE,FALSE,FALSE,FALSE,NA
"ACOXL","+",9,7,11,8,2,1,0.235849056603774,0.45662100456621,0,1,0,375293,0.649916646820672,FALSE,FALSE,TRUE,FALSE,NA
